title,status,school,raw price,course_url,course_image_url,subtitle,instructor,instructor_image_url,instructor_bio,short_description,long_description,faqs,airtable duration string
Angel Invocation,,GYANAMM BY DIPAALI,1 day free trial then ₹999/year,https://dipaali.teachable.com/p/angle-invocation,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://cdn.filestackcontent.com/paZx60rwQMq09kuE2hz3,I Am Divinely Guided! - (Videos Are In Hindi),Dipaali Ghanshyam Patel,https://www.filepicker.io/api/file/rvxdjdz2SfG4kM374KfW,"I believe it very strongly that “Investment in self is the best Asset.” And during my business journeybeing COE & MD, I have attended, learnt and certified many life-changing courses and here are some of them, which I would like to mention:",I am divinely guided!,"ABOUT THE ANGLE INNVOCATION

Meaning: To invoke means “to call in” or “to call upon.” When used in meditation, invocation is a technique with which you can summon any type of energy or quality to come to you.

You can use the power of invocation to summon any quality or energy that you want or need….

Strength, Wisdom, Serenity, Compassion, Softness, Warmth, Clarity, Intelligence, Creativity, Healing Power…

Simply make a strong, clear statement to yourself that this quality is now coming to you.

Another wonderful way to use the power of invocation is to summon the spirit or essence of a particular person who has qualities that you desire. If you invoke one of the masters, such as Buddha, Christ, or Shiva you are calling forth the universal qualities which that person symbolizes, which also lie within each of us. For example, if you call for Krishna to work in you and through you, you are summoning in a very powerful way your own qualities of love, compassion, forgiveness and healing ability.

If there is any particular master or teacher or hero or angel with whom you resonate, call upon him or her through invocation whenever you feel the need to manifest his or her special qualities within yourself.

There are number of invocations and all the human needs are covered in this course. Read them and Invoke them as and when required.

You will be able to


Cultivate your special skill or talent very easily.
Grow your business fast and effectively.
Develop Self-love
Handle all your relationships with ease
Heal financially.
Develop a positive attitude towards work

METHODOLOGY:


Online templates.

NUMBER OF MODULES:

Total of 37 PDF lessons","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}, {'Can I download Worksheets & templates?': 'Yes you can download worksheets & templates for your personal uses'}, {'How can I use this program?': 'You need to login with your user ID & Password. And You need to watch three videos a week and complete the assignments. Post the assignments’ picture or queries below the video.'}, {'When does the course start and finish?': 'The course will begin as soon as you subscribe it.'}, {'Who can Join this course?': 'Everyone can join this program specially Entrepreneur, Professionals like Doctors, Engineers, Lawyer, Sales Professionals, Finance managers, CEO, MD, Presidents, Housewives, Students, Trainers, Coaches.'}, {'Tell me the learning and teaching method?': 'You need to watch the video lessons on a weekly basis as per the convenient time and post the assignments in the comment box. All assignments will be checked personally by Dipaali. You will be answered about all your queries within 24 hrs of time.'}, {'Can I complete my course in a fast track mode?': 'Yes, You can! You can watch one video a day, do the assignment daily and post them below the video.'}, {'Can I complete my course in a fast track mode?': 'Yes, You can! You can watch one video a day, do the assignment daily and post them below the video'}, {'Can I start teaching others after certification?': 'Yes! Of course! If you are passionate about teaching & training.'}, {'How can I pay?': 'You need to pay lumpsum to unlock the course. Use green button ""Easy Payment Methods"" if you are from India. Contact us on [email\xa0protected] if you are facing trouble while paying to unlock the course.'}, {'To whom should I contact to resolve payment related issues?': 'Contact on [email\xa0protected]'}, {'Can I see all videos on my phone or tablet or ipad or desktop?': 'Yes, you can open videos in all devices. It’s user friendly and easily accessible'}]",2:26
21 Days Mirror Work,,GYANAMM BY DIPAALI,FREE,https://dipaali.teachable.com/p/21-days-mirror-work,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://cdn.filestackcontent.com/qIWhlZN4Q5KznyQNVfVJ,Inner Growth Matters,Dipaali Ghanshyam Patel,https://www.filepicker.io/api/file/rvxdjdz2SfG4kM374KfW,"I believe it very strongly that “Investment in self is the best Asset.” And during my business journeybeing COE & MD, I have attended, learnt and certified many life-changing courses and here are some of them, which I would like to mention:",iNNER GROWTH Matters,"Do you want to help yourself?



Do you want to become successful and happy in life?

Join the Online, FREE 21 Days ""Self-Love"" Challenge with me.





Where you will learn 



💓 A deeper level of self-care.



💓 Gain confidence



💓 Develop self-awareness



💓 Overcome resistance to change



💓 Boost self-esteem



💓 Cultivate love and compassion



You will get 😇



💜 Free login to access daily Meditation as an assignment in English, Hindi, Gujarati, and Marathi



💜 Daily journaling work



💜 iNNER GROWTH Workbook



💜 All days presentations



💜 Live Weekly Clarity Class for solving doubts with me.




You need to

✅ Watch a day-wise video lesson on www.youtube.com/dipaali

✅ Journaling work

✅ Mirror work

✅ Short Meditation (It is available in Hindi, English, and Gujarati)","[{'When does the course start and finish?': 'The course starts ends in 2 months!'}, {'How long do I have access to the course?': 'You can access it for 2 months from the date of your enrollment'}, {'How can I continue my subscription after 2 monthes?': 'You can always upgrade your plan. There are multiple plans to continue the learning journey. You can choose a monthly subscription plan by paying Rs. 99/- for the bundle of 21 courses, You can buy DDLC All access or you can buy individual courses as per your requirement. Contact us for further assistance on [email\xa0protected]'}, {'Can I share my login details to others?': 'Yes! You can ask them to sign up themselves for the course.'}]",8:20:33
Egenvårdsverktyg - Integralmetoder Med Kroppsövningar Och Meditationer,,"HYCSC-AWACE School for Health, Wellbeing and Life",FREE,https://hunyuan-consciousness-science-center.teachable.com/p/egenvards-verktyg-integral-helhetstankande-meditation-och-kroppstraningar,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/Pb0FftdlRdiT4pKCa6Y1,Självhjälp Hälsoverktyg För Det Dagliga - Enkla Och Effektiva,"Ming Niku, B.Sc., M.A., Mba, Doctoral, Rcst",https://www.filepicker.io/api/file/MnoOXFkcTayDdblf7oVd,http://spangafriskvard.se/hem-2/terapeuter/ming%20niku.html,Självhjälp hälsoverktyg för det dagliga - Enkla och Effektiva,Självhjälp hälsoverktyg för det dagliga - Enkla och Effektiva,"[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",
365-Day Manifestation Course,,ILONA SELKE ONLINE ACADEMY,7 day free trial then $15/month,https://ilonaselke.teachable.com/p/365-day-course,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://cdn.filestackcontent.com/MNz9n7KETxmro8DzvSzf,Manifest Your Dreams - One Day At A Time,Ilona Selke English,https://www.filepicker.io/api/file/tqNiON7vRlnOaAhSDkt7,"She lives with her husband of 35+ years, author Don Paris, Ph.D.hc., on an island in the Northwest Pacific of the USA in their geodesic Dome Home and in Bali, where she and her husband own a Retreat Center called Shambala Oceanside Retreat Center",A year course to help you stay on track with your spiritual development,"The 365-Day-Manifestation Course


365 daily inspirational text


365 daily videos


 365 daily quotes, images


52 weekly inspirational 30-minute meditations


12 monthly live meditations and sharing in a group, on Zoom


12 distinct topics, one per month


Let this all guide you throughout the year

Instead of being swayed back and forth like a leaf in the wind, you can learn to harness the hidden power of your higher mind, and the universal energy.




You can train your mind to bring positive experiences into your life and manifest your thoughts and vision because you learn and practice how to speak to the universe.




For the next 12 months, you can strengthen your manifestation, and focus on what is needed to succeed, with the help of weekly meditation exercises, and daily quotes, images and texts that inspire and help guide you to strengthen your manifestation abilities.




Each month of this 365-Day Manifestation Course has a theme, and through daily videos and text, as well as weekly meditations, you will train your intuitive mind, stay on track with your vision, and ensure your development and success.In your monthly subscription you receive the following:

 





12 monthly live zoom meetings with a guided meditation by Ilona Selke (will also be sent to all participants as a video recording)

365 beautiful picture quotes with inspiring sayings by & with Ilona Selke




365 questions accompanying the picture quotes





365 daily inspiring texts to spur your spiritual growth, whether you are seasoned or a beginner








52 weekly meditations on video, to guide you through the week




The LFV LITE App, with the Morning & Evening Meditations (each 12 minutes long)





Daily reminder emails to read the extended daily quote text and answer the questions for the day



This monthly subscription plan offers the most value at the most affordable price. 


The subscription is debited monthly and can be paused or canceled at any time


The VAT is automatically added at check-out according to the state or country of your location.The 365-Day Course helps you stay on track with your spiritual development, 


each and every day


 for just $15 USD per month


The weekly meditations of the 365-Day Manifestation Course serve as a mental guideline for the week. They lift you up and give your week focus and vision and tools to make the best week ever..




The monthly LIVE meditations, led by Ilona Selke, take place once a month on ZOOM in a group setting. You will experience one or two meditations, have time to share one-on-one and in the group and experience the power of like-minded working together. The times and links will be announced to all members of the course and a reminder will be sent the day before the event. Of course, you will also be able to listen to the recording at any time that is convenient for you.


This course give you the very best tools and the most well-rounded support to stay on track with your development.

The APP






With your daily meditations in the am and pm, you define every day in advance what the one thing is you wish to manifest, in terms of a goal, and what the one important thing is for your heart and soul, that you wish to manifest that day.


In the accompanying app, the morning and evening meditations are right at your fingertips, right where you are.



Join & sign up TODAY

Do something today, for which your future self will thank you.

You can decide month to month, whether you want to continue with the program!Join us so that you:


you can focus on what is important to you every day
raise your vibrations and focus daily
train your mind to manifest the desires that are important to you
listen to your heart and soul every day
so that you can rise to higher spheres every month from Ilona Selke's LIVE guided meditations
so that you can meet weekly with like-minded people to meditate together weekly
so that you can exchange ideas about the texts and meditations of the course.


WHEN & HOW


Read your inspiring texts and the associated questions in the online course every day.
Do your daily morning and evening meditations on the app
Design your vision at the beginning of your journey
Read your inspirational quotes every day 
Read your inspirational text and questions every day 
Join the LIVE monthly meditations with Ilona Selke. The meditations are also all recorded in case you can't be there live.





SEE THE CONTENT OF THE COURSE HERE","[{'How long do I have access to the course and what is the best way to do the course?': 'You have access to the course, the quotes app and the monthly meditations. as long as you pay the monthly fee\nYou will receive an e-mail from Ilona Selke once a day and you can be inspired by the QUOTATIONS by IONA SELKE, or by the additional texts to delve deeper into the topic of the day.\nShort questions at the end of each text will actively support you in your process of development, reflection and vision development.\nThe weekly meditations give you the guide of the week and you can do them for yourself at home whenever you have time.\nYou can cancel the subscription at any time.'}, {'How do I participate in the weekly and monthly meditations?': 'You can find the weekly meditations as video recordings in the 365 Day Manifestation Course.\nThe monthly meditations are led by Ilona Selke LIVE on ZOOM.\nInteractive, deep exercises and guided meditations by Ilona Selke, as well as the exchange with questions and answers are part of this monthly event.\nYou will receive the link to this via email every month after you have registered.\nYou can also listen to the LIVE meditation afterward, as a recording, at a time that suits you.'}, {'How to get the LFV LLITE APP with the morning and evening meditations?': 'We will send you a link for the LFV LITE app to download this app for free once you have signed up.\nAs long as you participate, you have access to the LFV LITE app.'}, {'How do I participate in the monthly meditations?': ""The weekly meditations are included in the online course.\nIlona Selke's monthly meditations are conducted live via Zoom each month, and you will receive the link via email the day before.""}]",38:35:03
Meditation For Beginners - 5 Day Program,,Jag Jassel,FREE,https://second-innings-academy.teachable.com/p/meditation-for-beginners-5-day-program,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/mOVRXTEcRkC58GoVtqU9,Everything You Need To Know To Get Started In Meditation,Jag Jassel,https://www.filepicker.io/api/file/9ABRlazSQFuaproCQdss,"Jag is Australia's #1 Fast Growth Coach and Breakthrough Trainer. He help entrepreneurs turn their experience, knowledge or passion into a successful business so they can serve millions and make millions.",Everything you need to know to get started in Meditation,"For thousands of years people have used meditation to move beyond the mind's stress-inducing thoughts and emotional upsets into the peace and clarity of present moment awareness. The variety of meditation techniques, traditions, and technologies is nearly infinite, but the essence of meditation is singular: the cultivation of mindful awareness and expanded consciousness.

As an adult, I first started my meditation practice with just two minutes per day. Two minutes! I got that idea from one of the Zen Habits blog, where the author points out how starting with a tiny habit is the first step to consistently achieving it. So even thought two minutes won't make much difference, that's where I started. Whether you're as skeptical as I used to be, or you're well ahead of me with a meditation habit of several hours, I think it's always interesting to find out how new habits affect our brains. I had a look into meditation to see what's going on inside our brains when we do this, and what I found is pretty interesting.



What is Meditation?

There are different ways to meditate, and since it's such a personal practice there are probably more than any of us know about. There are a couple that are usually focused on heavily in scientific research, though. These are focused-attention, or mindful meditation, which is where you focus on one specific thing -- it could be your breathing, a sensation in your body or a particular object outside of you. The point of this type of meditation is to focus strongly on one point and continually bring your attention back to that focal point when it wanders.

The other type of meditation that's often used in research is open-monitoring meditation. This is where you pay attention to all of the things happening around you -- you simply notice everything without reacting.

What Happens in Your Brain When You Meditate

This is where things get really interesting. Using modern technology like fMRI scans, scientists have developed a more thorough understanding of what's taking place in our brains when we meditate. The overall difference is that our brains stop processing information as actively as they normally would. We start to show a decrease in beta waves, which indicate that our brains are processing information, even after a single 20-minute meditation session if we've never tried it before.

How Meditation Affects You


Better Focus
Less Anxiety
More Creativity
More Compassion
Better Memory
Less Stress

How To Get Started? 

I have created this 5 one minute lessons for absolute beginners who like to get started in their meditation practice.

You only need 2 minutes a day to get started on this journey.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}]",10:04
Fearless Freedom Tool Kit,,Katie Bock,FREE,https://etgyoga.teachable.com/p/fearless-freedom-tool-kit,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/W1D8ITPvQyCpSCtcVkuc,Stress Less Now,Katie Bock,https://www.filepicker.io/api/file/uAT0YFhORZW0AoaxyPdl,"Katie Bock is an intuitive spiritual guide and mindset coach. She believes in living Fearless, Free and Fulfilled. Her mission is to help you discover Authentic Alignment and connect to universal Abundance. Katie combines yoga, meditation, energy work and mindset tools to support you in releasing your blocks, stepping into your power and opening up to live your best life. She is the creator of the Illuminations Oracle Card Deck and host of Thursday Tea (LIVE on FB & Instagram Thursdays at Noon EST).",STRESS LESS NOW,"This tool kit was created with you in mind! Katie has pulled together her top tips to reduce stress plus she is giving you access to meditations and yoga classes.

Katie struggled for many years with her own stress and now that she has learned how to live through the stress she is passionate about sharing all the tools she uses with you!

Are you ready to join Katie in a Fearless, Free and Fulfilled life?","[{'What if I have questions?': 'You can reach out to Katie at anytime with questions. Email her at [email\xa0protected]'}, {'How long do I have access to the tool kit?': 'How does lifetime access sound? After accessing, you have unlimited access to this course for as long as you like - across any and all devices you own.'}]",52:54:00
Daily Meditations,,Kersten Kimura,FREE,https://urban-jane-holiday-workout-guide.teachable.com/p/daily-meditationns1,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/tRAhYJvORBOYmIVbrNIS,"Relax Your Body, Calm Your Mind, Learn To Trust",Kersten Kimura,https://www.filepicker.io/api/file/5j3d1t0RSJSR8Xkd89ah,Hi!,"Relax Your Body, Calm Your Mind, Learn to Trust","Relax Your Body, Calm Your Mind, Learn to Trust",,
A Conscious Work-Life Introduction,,Leading Beings,FREE,https://katemccready.teachable.com/p/a-conscious-work-life-introduction,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/wvH9B4PfQIKAL3CT1fMJ,"9 Principles To Help You Flow, Flourish And Be Fulfilled In Work And Life.",Kate Mccready,https://www.filepicker.io/api/file/Geg3W1g6QY2jXKNrTEHC,"Kate McCready is a coach, meditation teacher, learning experience designer and founder of Leading Beings. Kate is passionate about helping people take a more conscious approach to their work and life. Working with both individuals and organisations, she helps people find meaning, wellbeing and fulfilment through what they do and the lives they live to reach their true potential.","9 Principles to help you flow, flourish and be fulfilled in work and life.","*Note: By signing up to this course you will join Kate McCready's mailing list. You are more than welcome to unsubscribe once you have accessed the course.

About the Course
Developing a more conscious approach to your working life can have tremendous benefits
- Improving wellbeing- Gaining a deeper sense of meaning- Increasing your ability to have an impact- Helping you access your true potential

Join me in this FREE introductory course and learn:


What is a conscious work life?
Why you would want to live a conscious work-life.
The 9 Principles to follow to create a conscious work life. 

The course consists of four short videos (no more than 12 minutes each) to start you on your journey towards a Conscious Work-Life.

Sign up* now to begin crafting your work-life for greater fulfilment, flourishing and flow.

*Note: By signing up to this course you will join Kate McCready's mailing list. You are more than welcome to unsubscribe once you have accessed the course.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your free course, please feel free to send us feedback. We are always looking to improve our offerings.'}, {'Why do I have to sign up to your newsletter?': ""This course is offered free in exchange for your signing up to Kate's newsletter. You are under no obligation to stay signed up and may unsubscribe from her list at any time.""}]",38:12:00
Lit From Within™-Sacred Self Care Membership,,Lit From Within,7 day free trial then $197/year,https://lit-from-within.teachable.com/p/lit-from-within-sacred-self-care-membership,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/gWqrgv3kSA2ZYVg85ZZa,"Monthly Membership For Body Centered Empowered Yoga, Meditation, Guided Visualizations, And Creative Expressions Because You Deserve It And Are Worth It.",Molly Douglas,https://www.filepicker.io/api/file/W19q8Yz0ReKBIhmvIYAh,"Art Therapist, Trauma Sensitive Yoga Instructor, Sacred Feminine Embodiment Leader","Monthly membership for Body Centered Empowered Yoga, Meditation, Guided Visualizations, and Creative Expressions because you deserve it and are worth it.","The convenient and flexible way to get LIT FROM WTHIN. Come Shine with me!

NO DRIVING * NO PARKING * NO STRESS ALL ON YOUR FAVORITE DEVICE

If your brand-new to the world of body centered self care or have been practicing yoga and meditation for a long time, you will love this monthly membership to Lit From Within-Sacred Self Care.

Find new ways to relax your body and mind and help focus on YOU.

Membership includes:

 all types of gentle yoga for mind and body relaxation and reflection, meditations, mindfulness practices, progressive muscle relaxation, guided visualizations, body love, affirmations, and soothing self care rituals.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",10:16:54
Free Library,,Manifestation Lounge,FREE,https://theselfrevolution.teachable.com/p/selfrevolutionfree,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/j8rSTCkRvaHnTaix5HVA,,Teanna Campbell,https://www.filepicker.io/api/file/fB02mBYgRhOBmv0ReceJ,· Manifestor · Depression Vanquisher · Anxiety Gangsta · Hypnotist · Rejects Societal Bull-Fuckery · Recovering Perfectionist · Book Nerd · Master Procrastinator ·Secure About Being Insecure · Chronic Overthinker · Control Freak · Healer · Introvert · Mother · Meditation Junkie · Knowledge Addict · Gratitude Giver · NotSoHealthyNut · Feeling Feeler · Empath · Stigma Changing · List Maker · Rap Viber · Authenticity Unleasher ·,Free Manifestation Tools by Teanna Campbell,"An expanding library of //FREE// tools to free your mind, explore your spirituality & CREATE the reality you came here for.

#HALLELUJAH

Note: This content is not meant as a substitute for professional medical attention. Please consult with your physician to rule out any physical or mental complications or for the diagnosis and prevention of illness. Do not listen while driving or operating potentially dangerous machinery.","[{'How long do I have access to the recording?': 'After enrolling, you have unlimited access to this course for as long as you like as long as you download the provided content - across any and all devices you own'}, {'Do you offer refunds?': 'Due to the nature of this recording, I do not offer refunds. I cannot predict human behavior, and much of your success relies on your dedication to your challenge & the frequency to which you listen to the recordings.'}, {'Do you take insurance?': 'I suggest that you think of these services as something that you pay for personally. This not only protects your privacy, but gives you value to the work that you are doing. In general, insurance companies do not yet cover Hypnotherapy. Please do not expect them to.'}, {'How long before I see results with this audio?': 'Nothing is guaranteed girlfriend. Everyone is different, and will react differently (in their own perfect way) to hypnosis. You will more than likely see results after your first session, but may need to listen to the audio daily for up to 21 days to benefit from the full effects. Think of hypnosis as an ongoing daily practice to add to your own personal daily habits.'}]",48:28:00
Subconscious Manifestation,,Manifestation Lounge,FREE,https://theselfrevolution.teachable.com/p/subconsciousmanifestation,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/IxMtKPgS2Go1mpSQ6tVX,An Intro To The Subconscious Mind,Teanna Campbell,https://www.filepicker.io/api/file/fB02mBYgRhOBmv0ReceJ,· Manifestor · Depression Vanquisher · Anxiety Gangsta · Hypnotist · Rejects Societal Bull-Fuckery · Recovering Perfectionist · Book Nerd · Master Procrastinator ·Secure About Being Insecure · Chronic Overthinker · Control Freak · Healer · Introvert · Mother · Meditation Junkie · Knowledge Addict · Gratitude Giver · NotSoHealthyNut · Feeling Feeler · Empath · Stigma Changing · List Maker · Rap Viber · Authenticity Unleasher ·,An Intro to The Subconscious Mind,"Your subconscious mind RUNS YOUR DAMN SHOW.It stores your beliefs, habits, blocks, and.... manifestations.

Learn how to harness AND CONTROL your subconscious mind with this free 4 day event.

Covering::


The PURPOSE of Your Subconscious Mind
HOW the Subconscious functions
CONDITIONING (and therefore controlling) your Subconscious Mind
The Subconscious FREQUENCY
How to use your Subconscious Mind to MANIFEST
How BELIEFS work (for or against you)
Tools to REWIRE your Belief system

When you register you not only get access to the entire event, courtesy of me, but you get a COMPLIMENTARY hypnosis audio to let go of your bullshit.

BEST OF ALL - you won't be hit with some $4,000 pitch at the end.

There is literally no downside. So Register NOW!



Note: This content is not meant as a substitute for professional medical attention. Please consult with your physician to rule out any physical or mental complications or for the diagnosis and prevention of illness. Do not listen while driving or operating potentially dangerous machinery.","[{'How long do I have access to the recording?': 'After enrolling, you have unlimited access to this course for as long as you like as long as you download the provided content - across any and all devices you own'}, {'Do you offer refunds?': 'Due to the nature of this recording, I do not offer refunds. I cannot predict human behavior, and much of your success relies on your dedication to your challenge & the frequency to which you listen to the recordings.'}, {'Do you take insurance?': 'I suggest that you think of these services as something that you pay for personally. This not only protects your privacy, but gives you value to the work that you are doing. In general, insurance companies do not yet cover Hypnotherapy. Please do not expect them to.'}, {'How long before I see results with this audio?': 'Nothing is guaranteed girlfriend. Everyone is different, and will react differently (in their own perfect way) to hypnosis. You will more than likely see results after your first session, but may need to listen to the audio daily for up to 21 days to benefit from the full effects. Think of hypnosis as an ongoing daily practice to add to your own personal daily habits.'}]",
Manifestation Rituals,,Manifestation Lounge,FREE,https://theselfrevolution.teachable.com/p/manifestationrituals,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/F347xzoXSQut1wUIvuZ1,E-Book,Teanna Campbell,https://www.filepicker.io/api/file/fB02mBYgRhOBmv0ReceJ,· Manifestor · Depression Vanquisher · Anxiety Gangsta · Hypnotist · Rejects Societal Bull-Fuckery · Recovering Perfectionist · Book Nerd · Master Procrastinator ·Secure About Being Insecure · Chronic Overthinker · Control Freak · Healer · Introvert · Mother · Meditation Junkie · Knowledge Addict · Gratitude Giver · NotSoHealthyNut · Feeling Feeler · Empath · Stigma Changing · List Maker · Rap Viber · Authenticity Unleasher ·,E-BOOK,"AN E-BOOK FULL OF A ZILLION MANIFESTATION RITUALS.

Not literally, obvs.

Note: This content is not meant as a substitute for professional medical attention. Please consult with your physician to rule out any physical or mental complications or for the diagnosis and prevention of illness. .","[{'How long do I have access to the recording?': 'After enrolling, you have unlimited access to this course for as long as you like as long as you download the provided content - across any and all devices you own'}, {'Do you offer refunds?': 'Due to the nature of this recording, I do not offer refunds. I cannot predict human behavior, and much of your success relies on your dedication to your challenge & the frequency to which you listen to the recordings.'}, {'Do you take insurance?': 'I suggest that you think of these services as something that you pay for personally. This not only protects your privacy, but gives you value to the work that you are doing. In general, insurance companies do not yet cover Hypnotherapy. Please do not expect them to.'}, {'How long before I see results with this audio?': 'Nothing is guaranteed girlfriend. Everyone is different, and will react differently (in their own perfect way) to hypnosis. You will more than likely see results after your first session, but may need to listen to the audio daily for up to 21 days to benefit from the full effects. Think of hypnosis as an ongoing daily practice to add to your own personal daily habits.'}]",
Highly Meditated,,Manifestation Lounge,FREE,https://theselfrevolution.teachable.com/p/highlymeditated,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/XoGAjHJLRhChnRrnrYDg,Ten Day Begin To Meditate Workshop,Teanna Campbell,https://www.filepicker.io/api/file/fB02mBYgRhOBmv0ReceJ,· Manifestor · Depression Vanquisher · Anxiety Gangsta · Hypnotist · Rejects Societal Bull-Fuckery · Recovering Perfectionist · Book Nerd · Master Procrastinator ·Secure About Being Insecure · Chronic Overthinker · Control Freak · Healer · Introvert · Mother · Meditation Junkie · Knowledge Addict · Gratitude Giver · NotSoHealthyNut · Feeling Feeler · Empath · Stigma Changing · List Maker · Rap Viber · Authenticity Unleasher ·,Ten Day BEGIN TO MEDITATE Workshop,"Meditation is #BombAF

& You are BombAF.



So it just makes sense that the two of y'all would go together.

And I am here to play the part of the mutha-fucking matchmaker.



In this 10 day workshop you'll receive 10 daily meditations, starting at just three minutes a day! So you can ease your way into this relationship. You'll also get daily prompts to get your mind focused, meditation tips & tricks, exposure to different modalities of meditation, AND an accountability chart, with a REWARD for completion. Because that's how the cool kids roll,

 & we're the cool kids.



So take a deep breath,

decide ""I'M FUCKING READY!""

& let's get high(ly meditated)



Namaste Bitch



Note: This content is not meant as a substitute for professional medical attention. Please consult with your physician to rule out any physical or mental complications or for the diagnosis and prevention of illness. Do not listen while driving or operating potentially dangerous machinery.","[{'How long do I have access to the recording?': 'After enrolling, you have unlimited access to this course for as long as you like as long as you download the provided content - across any and all devices you own'}, {'Do you offer refunds?': 'Due to the nature of this recording, I do not offer refunds. I cannot predict human behavior, and much of your success relies on your dedication to your challenge & the frequency to which you listen to the recordings.'}, {'Do you take insurance?': 'I suggest that you think of these services as something that you pay for personally. This not only protects your privacy, but gives you value to the work that you are doing. In general, insurance companies do not yet cover Hypnotherapy. Please do not expect them to.'}, {'How long before I see results with this audio?': 'Nothing is guaranteed girlfriend. Everyone is different, and will react differently (in their own perfect way) to hypnosis. You will more than likely see results after your first session, but may need to listen to the audio daily for up to 21 days to benefit from the full effects. Think of hypnosis as an ongoing daily practice to add to your own personal daily habits.'}]",
